# Flight legs in the bundled example network.
# cost         = representative one-way fare
# duration_min = block time in minutes
# seats        = per-leg capacity, used as the edge capacity for max-flow
#
# Legs are listed as directed pairs. Return legs differ slightly in fare and
# block time, as real schedules do, which keeps the cheapest and fastest routes
# from being trivially symmetric.
from,to,cost,duration_min,seats,airline

# --- North America domestic ---
ATL,JFK,138,140,180,DL
JFK,ATL,142,145,180,DL
ATL,ORD,129,125,170,DL
ORD,ATL,133,120,170,DL
ATL,DFW,151,140,190,AA
DFW,ATL,148,135,190,AA
ATL,LAX,236,275,200,DL
LAX,ATL,244,260,200,DL
JFK,ORD,145,155,180,AA
ORD,JFK,140,145,180,AA
JFK,LAX,289,370,240,AA
LAX,JFK,295,320,240,AA
JFK,SFO,301,375,210,UA
SFO,JFK,297,330,210,UA
ORD,LAX,190,260,200,UA
LAX,ORD,186,245,200,UA
ORD,SFO,198,265,190,UA
SFO,ORD,201,250,190,UA
DFW,LAX,166,195,175,AA
LAX,DFW,170,185,175,AA
JFK,YYZ,118,95,120,AC
YYZ,JFK,121,90,120,AC
ORD,YYZ,112,90,110,AC
YYZ,ORD,115,85,110,AC

# --- North America to Europe ---
JFK,LHR,480,420,300,BA
LHR,JFK,462,465,300,BA
JFK,CDG,521,435,240,AF
CDG,JFK,509,480,240,AF
JFK,AMS,498,425,260,KL
AMS,JFK,487,470,260,KL
ORD,FRA,545,505,280,LH
FRA,ORD,538,545,280,LH
ATL,LHR,512,455,290,DL
LHR,ATL,505,510,290,DL
SFO,LHR,588,610,270,BA
LHR,SFO,596,650,270,BA
YYZ,LHR,455,420,230,AC
LHR,YYZ,449,455,230,AC
DFW,MAD,610,555,210,IB
MAD,DFW,604,590,210,IB

# --- Intra-Europe ---
LHR,CDG,96,80,150,AF
CDG,LHR,99,85,150,AF
LHR,FRA,121,95,150,LH
FRA,LHR,118,100,150,LH
LHR,AMS,104,80,140,KL
AMS,LHR,107,85,140,KL
CDG,FRA,110,80,140,LH
FRA,CDG,113,85,140,LH
CDG,MAD,126,125,130,IB
MAD,CDG,129,130,130,IB
FRA,IST,178,185,160,TK
IST,FRA,174,195,160,TK
AMS,IST,186,200,150,TK
IST,AMS,182,210,150,TK
FRA,SVO,215,215,120,SU
SVO,FRA,219,225,120,SU

# --- Europe / Middle East to Asia and Africa ---
LHR,DXB,612,420,340,EK
DXB,LHR,598,455,340,EK
CDG,DXB,589,400,300,EK
DXB,CDG,594,430,300,EK
FRA,DXB,542,375,320,EK
DXB,FRA,551,405,320,EK
IST,DOH,268,255,180,QR
DOH,IST,272,265,180,QR
IST,CAI,199,150,140,MS
CAI,IST,203,155,140,MS
CDG,CAI,325,270,150,MS
CAI,CDG,331,280,150,MS
LHR,JNB,705,650,260,SA
JNB,LHR,712,690,260,SA
DXB,JNB,538,480,220,EK
JNB,DXB,545,500,220,EK
FRA,DEL,623,455,260,LH
DEL,FRA,617,490,260,LH
DXB,DEL,231,195,280,EK
DEL,DXB,228,205,280,EK
DXB,BOM,215,180,260,EK
BOM,DXB,219,190,260,EK
DOH,DEL,241,225,200,QR
DEL,DOH,238,235,200,QR
DXB,SIN,433,445,350,EK
SIN,DXB,441,465,350,EK
DXB,BKK,412,395,300,EK
BKK,DXB,418,415,300,EK

# --- Intra-Asia and Oceania ---
DEL,BOM,78,135,160,AI
BOM,DEL,81,140,160,AI
DEL,SIN,312,335,220,SQ
SIN,DEL,308,345,220,SQ
DEL,BKK,268,255,180,TG
BKK,DEL,264,265,180,TG
BKK,SIN,118,135,190,SQ
SIN,BKK,121,140,190,SQ
BKK,HKG,164,170,180,CX
HKG,BKK,168,175,180,CX
SIN,HKG,192,235,200,CX
HKG,SIN,196,240,200,CX
HKG,PVG,152,150,210,CX
PVG,HKG,155,155,210,CX
PVG,ICN,146,125,180,KE
ICN,PVG,149,130,180,KE
PVG,NRT,178,180,190,NH
NRT,PVG,182,185,190,NH
ICN,NRT,158,140,170,KE
NRT,ICN,161,145,170,KE
SIN,NRT,421,420,250,SQ
NRT,SIN,428,435,250,SQ
HKG,SYD,498,560,240,QF
SYD,HKG,504,545,240,QF
SIN,SYD,512,480,270,QF
SYD,SIN,518,495,270,QF
NRT,SYD,701,585,240,QF
SYD,NRT,708,565,240,QF
SYD,AKL,168,195,150,NZ
AKL,SYD,171,200,150,NZ

# --- Trans-Pacific and South America ---
LAX,NRT,792,690,260,NH
NRT,LAX,785,595,260,NH
LAX,SYD,981,900,280,QF
SYD,LAX,993,835,280,QF
SFO,ICN,742,690,230,KE
ICN,SFO,736,605,230,KE
SFO,HKG,808,745,240,CX
HKG,SFO,801,660,240,CX
JFK,GRU,641,590,200,LA
GRU,JFK,635,610,200,LA
ATL,BOG,388,315,160,AV
BOG,ATL,392,325,160,AV
GRU,BOG,275,320,140,AV
BOG,GRU,279,330,140,AV
GRU,MAD,688,590,190,IB
MAD,GRU,694,610,190,IB
GRU,JNB,712,555,170,SA
JNB,GRU,718,570,170,SA
